pollster_raw,pollster,start_date,end_date,n_size,univ,rep,dem,cycle
Pew Research,pew,6/16/10,6/20/10,1496,RV,45,45,2010
Rasmussen Reports,rasmussen,6/14/10,6/20/10,3500,LV,44,36,2010
Democracy Corps (D),dem_corps,6/19/10,6/22/10,867,LV,48,42,2010
Gallup,gallup,6/21/10,6/27/10,1600,RV,45,46,2010
Rasmussen Reports,rasmussen,6/21/10,6/27/10,3500,LV,44,38,2010
FOX News,fox_news,6/29/10,6/30/10,900,RV,42,40,2010
Gallup,gallup,6/28/10,7/3/10,1600,RV,46,44,2010
Gallup,gallup,7/5/10,7/11/10,1600,RV,46,47,2010
Rasmussen Reports,rasmussen,7/5/10,7/11/10,3500,LV,44,38,2010
Bloomberg,bloomberg,7/9/10,7/12/10,875,LV,48,40,2010
PPP (D),ppp,7/9/10,7/12/10,667,RV,43,43,2010
Time,time,7/12/10,7/13/10,1003,Adults,42,43,2010
FOX News,fox_news,7/13/10,7/14/10,900,RV,41,37,2010
Gallup,gallup,7/12/10,7/18/10,1535,RV,43,49,2010
Rasmussen Reports,rasmussen,7/12/10,7/18/10,3500,LV,45,36,2010
Quinnipiac,quinnipiac,7/13/10,7/19/10,2181,RV,43,38,2010
CNN/Opinion Research,cnn_orc,7/16/10,7/21/10,945,RV,49,44,2010
Gallup,gallup,7/19/10,7/25/10,1633,RV,44,48,2010
Rasmussen Reports,rasmussen,7/19/10,7/25/10,3500,LV,46,36,2010
Reuters/Ipsos,reuters_ipsos,7/22/10,7/25/10,848,RV,46,44,2010
FOX News,fox_news,7/27/10,7/28/10,900,RV,47,36,2010
Gallup,gallup,7/26/10,8/1/10,1562,RV,48,43,2010
Rasmussen Reports,rasmussen,7/26/10,8/1/10,3500,LV,46,38,2010
Pew Research,pew,7/21/10,8/5/10,2431,RV,44,45,2010
Gallup,gallup,8/2/10,8/8/10,1600,RV,49,43,2010
Rasmussen Reports,rasmussen,8/2/10,8/8/10,3500,LV,46,39,2010
PPP (D),ppp,8/6/10,8/9/10,606,RV,45,42,2010
CNN/Opinion Research,cnn_orc,8/6/10,8/10/10,935,RV,48,45,2010
FOX News,fox_news,8/10/10,8/11/10,900,RV,44,37,2010
Gallup,gallup,8/9/10,8/15/10,1600,RV,50,43,2010
Rasmussen Reports,rasmussen,8/9/10,8/15/10,3500,LV,48,36,2010
Associated Press/GfK,ap_gfk,8/11/10,8/16/10,890,RV,49,45,2010
Time,time,8/16/10,8/17/10,827,LV,43,37,2010
Gallup,gallup,8/16/10,8/22/10,1600,RV,47,44,2010
Rasmussen Reports,rasmussen,8/16/10,8/22/10,3500,LV,47,38,2010
Reuters/Ipsos,reuters_ipsos,8/19/10,8/22/10,950,RV,46,45,2010
Newsweek,newsweek,8/25/10,8/26/10,856,RV,45,45,2010
Gallup,gallup,8/23/10,8/29/10,1540,RV,51,41,2010
Rasmussen Reports,rasmussen,8/23/10,8/29/10,3500,LV,45,39,2010
National Journal/FD,nat_journal,8/27/10,8/30/10,1116,RV,36,38,2010
USA Today/Gallup,usa_today_gallup,8/27/10,8/30/10,928,RV,49,43,2010
CNN/Opinion Research,cnn_orc,9/1/10,9/2/10,936,RV,52,45,2010
Democracy Corps (D),dem_corps,8/30/10,9/2/10,845,LV,49,42,2010
FOX News,fox_news,9/1/10,9/2/10,900,RV,46,37,2010
Gallup,gallup,8/30/10,9/5/10,1651,RV,46,46,2010
Rasmussen Reports,rasmussen,8/30/10,9/5/10,3500,LV,48,36,2010
Pew Research,pew,8/25/10,9/6/10,2053,LV,50,43,2010
Quinnipiac,quinnipiac,8/31/10,9/7/10,1905,RV,42,37,2010
Politico/GWU/Battleground,politico_gwu_battleground,9/7/10,9/9/10,1000,LV,43,43,2010
Gallup,gallup,9/6/10,9/12/10,1527,RV,48,43,2010
Rasmussen Reports,rasmussen,9/6/10,9/12/10,3500,LV,47,38,2010
PPP (D),ppp,9/10/10,9/13/10,590,RV,44,45,2010
Democracy Corps (D),dem_corps,9/11/10,9/14/10,835,LV,50,40,2010
FOX News,fox_news,9/14/10,9/16/10,900,RV,46,40,2010
McClatchy/Marist,mcclatchy_marist,9/14/10,9/16/10,815,RV,47,45,2010
POS (R),pos,9/14/10,9/16/10,800,LV,44,39,2010
Gallup,gallup,9/13/10,9/19/10,2925,RV,45,46,2010
Rasmussen Reports,rasmussen,9/13/10,9/19/10,3500,LV,48,38,2010
Reuters/Ipsos,reuters_ipsos,9/16/10,9/19/10,993,RV,45,46,2010
Politico/GWU/Battleground,politico_gwu_battleground,9/19/10,9/22/10,1000,LV,47,42,2010
CNN/Opinion Research,cnn_orc,9/21/10,9/23/10,506,LV,53,44,2010
Gallup,gallup,9/20/10,9/26/10,3000,RV,46,46,2010
Rasmussen Reports,rasmussen,9/20/10,9/26/10,3500,LV,46,40,2010
FOX News,fox_news,9/28/10,9/29/10,900,RV,44,38,2010
Newsweek,newsweek,9/29/10,9/30/10,902,RV,43,48,2010
ABC News/Wash Post,abc_wapo,9/30/10,10/3/10,669,LV,49,43,2010
Gallup (LV Higher Turnout)*,gallup_ht,9/23/10,10/3/10,1882,LV,53,40,2010
Gallup (LV Lower Turnout)*,gallup_lt,9/23/10,10/3/10,1882,LV,56,38,2010
Rasmussen Reports,rasmussen,9/27/10,10/3/10,3500,LV,45,42,2010
Democracy Corps (D),dem_corps,10/2/10,10/4/10,816,LV,49,43,2010
CNN/Opinion Research,cnn_orc,10/5/10,10/7/10,504,LV,52,45,2010
Bloomberg,bloomberg,10/7/10,10/10/10,721,LV,40,42,2010
Gallup (LV Higher Turnout)*,gallup_ht,9/30/10,10/10/10,1953,LV,53,41,2010
Gallup (LV Lower Turnout)*,gallup_lt,9/30/10,10/10/10,1953,LV,56,39,2010
Rasmussen Reports,rasmussen,10/4/10,10/10/10,3500,LV,47,39,2010
Reuters/Ipsos,reuters_ipsos,10/7/10,10/11/10,720,LV,48,44,2010
FOX News,fox_news,10/11/10,10/13/10,687,LV,48,39,2010
Gallup (LV Higher Turnout)*,gallup_ht,10/7/10,10/17/10,1900,LV,53,42,2010
Gallup (LV Lower Turnout)*,gallup_lt,10/7/10,10/17/10,1900,LV,56,39,2010
Rasmussen Reports,rasmussen,10/11/10,10/17/10,3500,LV,48,39,2010
Associated Press/GfK,ap_gfk,10/13/10,10/18/10,846,LV,50,43,2010
Pew Research,pew,10/13/10,10/18/10,1354,LV,50,40,2010
Politico/GWU/Battleground,politico_gwu_battleground,10/17/10,10/20/10,1000,LV,47,42,2010
Newsweek,newsweek,10/20/10,10/21/10,773,LV,45,48,2010
Gallup (LV Higher Turnout)*,gallup_ht,10/14/10,10/24/10,1989,LV,52,43,2010
Gallup (LV Lower Turnout)*,gallup_lt,10/14/10,10/24/10,1989,LV,55,41,2010
Rasmussen Reports,rasmussen,10/18/10,10/24/10,3500,LV,51,39,2010
McClatchy/Marist,mcclatchy_marist,10/22/10,10/25/10,350,LV,49,43,2010
Bloomberg,bloomberg,10/24/10,10/26/10,1000,LV,47,44,2010
ABC News/Wash Post,abc_wapo,10/25/10,10/28/10,786,LV,49,45,2010
FOX News,fox_news,10/26/10,10/28/10,764,LV,50,37,2010
CNN/Opinion Research,cnn_orc,10/27/10,10/30/10,542,LV,52,42,2010
Pew Research,pew,10/27/10,10/30/10,1809,LV,48,42,2010
Gallup,gallup,10/28/10,10/31/10,1539,LV,55,40,2010
Rasmussen Reports,rasmussen,10/25/10,10/31/10,3500,LV,51,39,2010
Reuters/Ipsos,reuters_ipsos,10/28/10,10/31/10,654,LV,50,44,2010
Rasmussen Reports,rasmussen,1/2/12,1/8/12,4000,LV,38,44,2012
Reuters/Ipsos,reuters_ipsos,1/5/12,1/9/12,896,RV,48,44,2012
Democracy Corps (D),dem_corps,1/8/12,1/11/12,1000,LV,47,44,2012
Rasmussen Reports,rasmussen,1/9/12,1/15/12,3500,LV,38,44,2012
Rasmussen Reports,rasmussen,1/16/12,1/22/12,3500,LV,39,42,2012
Rasmussen Reports,rasmussen,1/23/12,1/29/12,3500,LV,41,40,2012
Rasmussen Reports,rasmussen,1/30/12,2/5/12,3500,LV,41,43,2012
Reuters/Ipsos,reuters_ipsos,2/2/12,2/6/12,881,RV,46,44,2012
Rasmussen Reports,rasmussen,2/6/12,2/12/12,3500,LV,41,43,2012
Democracy Corps (D),dem_corps,2/11/12,2/14/12,1000,LV,47,45,2012
Rasmussen Reports,rasmussen,2/13/12,2/19/12,3500,LV,41,42,2012
USA Today/Gallup,usa_today_gallup,2/16/12,2/19/12,898,RV,47,47,2012
Quinnipiac,quinnipiac,2/14/12,2/20/12,2605,RV,38,40,2012
Politico/GWU/Battleground,politico_gwu_battleground,2/19/12,2/22/12,1000,LV,46,45,2012
Rasmussen Reports,rasmussen,2/20/12,2/26/12,3500,LV,39,43,2012
Rasmussen Reports,rasmussen,2/27/12,3/4/12,3500,LV,41,44,2012
Bloomberg,bloomberg,3/8/12,3/11/12,746,LV,44,46,2012
Rasmussen Reports,rasmussen,3/5/12,3/11/12,3500,LV,38,44,2012
Reuters/Ipsos,reuters_ipsos,3/8/12,3/11/12,937,RV,47,43,2012
Rasmussen Reports,rasmussen,3/12/12,3/18/12,3500,LV,40,44,2012
McClatchy/Marist,mcclatchy_marist,3/20/12,3/22/12,846,RV,43,47,2012
Rasmussen Reports,rasmussen,3/19/12,3/25/12,3500,LV,38,43,2012
Rasmussen Reports,rasmussen,3/26/12,4/1/12,3500,LV,39,45,2012
Rasmussen Reports,rasmussen,4/2/12,4/8/12,3500,LV,40,45,2012
Rasmussen Reports,rasmussen,4/9/12,4/15/12,3500,LV,36,46,2012
Reuters/Ipsos,reuters_ipsos,4/12/12,4/15/12,891,RV,42,41,2012
Quinnipiac,quinnipiac,4/11/12,4/17/12,2577,RV,40,39,2012
Rasmussen Reports,rasmussen,4/16/12,4/22/12,3500,LV,40,43,2012
Rasmussen Reports,rasmussen,4/23/12,4/29/12,3500,LV,40,43,2012
Democracy Corps (D),dem_corps,4/28/12,5/1/12,1000,LV,46,45,2012
Politico/GWU/Battleground,politico_gwu_battleground,4/29/12,5/3/12,1000,LV,43,45,2012
Resurgent Republic (R),resurgen_republic,4/30/12,5/3/12,1000,RV,45,40,2012
Rasmussen Reports,rasmussen,4/30/12,5/6/12,3500,LV,41,44,2012
Reuters/Ipsos,reuters_ipsos,5/3/12,5/7/12,959,RV,46,44,2012
Rasmussen Reports,rasmussen,5/7/12,5/12/12,3500,LV,38,45,2012
USA Today/Gallup,usa_today_gallup,5/10/12,5/13/12,1012,Adults,44,50,2012
Rasmussen Reports,rasmussen,5/14/12,5/20/12,3500,LV,39,43,2012
Rasmussen Reports,rasmussen,5/21/12,5/27/12,3500,LV,39,42,2012
CNN/Opinion Research,cnn_orc,5/29/12,5/31/12,895,RV,48,45,2012
Rasmussen Reports,rasmussen,5/28/12,6/3/12,3500,LV,37,44,2012
Rasmussen Reports,rasmussen,6/4/12,6/10/12,3500,LV,39,45,2012
Reuters/Ipsos,reuters_ipsos,6/7/12,6/11/12,848,RV,47,44,2012
Pew Research,pew,6/7/12,6/17/12,1563,RV,47,43,2012
Rasmussen Reports,rasmussen,6/11/12,6/17/12,3500,LV,38,45,2012
Bloomberg,bloomberg,6/15/12,6/18/12,734,LV,48,41,2012
Rasmussen Reports,rasmussen,6/18/12,6/24/12,3500,LV,39,44,2012
Democracy Corps (D),dem_corps,6/23/12,6/27/12,1000,LV,45,46,2012
Newsweek/Daily Beast,newsweek,6/28/12,6/28/12,600,LV,36,38,2012
Rasmussen Reports,rasmussen,6/25/12,7/1/12,3500,LV,40,41,2012
Quinnipiac,quinnipiac,7/1/12,7/8/12,2722,RV,43,40,2012
Rasmussen Reports,rasmussen,7/2/12,7/8/12,3500,LV,40,43,2012
Reuters/Ipsos,reuters_ipsos,7/5/12,7/9/12,885,RV,44,48,2012
Rasmussen Reports,rasmussen,7/9/12,7/15/12,3500,LV,40,43,2012
Rasmussen Reports,rasmussen,7/16/12,7/22/12,3500,LV,40,43,2012
Democracy Corps (D),dem_corps,7/21/12,7/25/12,700,LV,46,46,2012
Rasmussen Reports,rasmussen,7/23/12,7/29/12,3500,LV,40,43,2012
Rasmussen Reports,rasmussen,7/29/12,8/5/12,3500,LV,39,42,2012
Reuters/Ipsos,reuters_ipsos,8/2/12,8/6/12,1014,RV,46,46,2012
Politico/GWU/Battleground,politico_gwu_battleground,8/5/12,8/9/12,1000,LV,43,45,2012
Rasmussen Reports,rasmussen,8/6/12,8/12/12,3500,LV,39,42,2012
Rasmussen Reports,rasmussen,8/13/12,8/19/12,3500,LV,41,42,2012
Resurgent Republic (R),resurgen_republic,8/16/12,8/22/12,1000,LV,44,40,2012
USA Today/Gallup,usa_today_gallup,8/20/12,8/22/12,955,RV,47,47,2012
Rasmussen Reports,rasmussen,8/20/12,8/26/12,3500,LV,42,42,2012
Democracy Corps (D),dem_corps,8/23/12,8/27/12,1000,LV,46,47,2012
